grade,name_clean,sector,sector_clean,ascents,fos_ratio,recommendation,stars
8b,4X4,Akdeniz,Akdeniz,12,0.0,0.0,3
7b+,Akdeniz,Akdeniz,Akdeniz,13,0.31,0.15,4
7a+,Atatürk,Akdeniz,Akdeniz,2,0.5,0.0,3
6c,Bebe Biskuvi,Akdeniz,Akdeniz,34,0.68,0.03,3
7c+,Django,Akdeniz,Akdeniz,5,0.0,0.0,4
7b+,Jose Bove,Akdeniz,Akdeniz,42,0.21,0.07,3
8a,Katil kim,Akdeniz,Akdeniz,32,0.09,0.25,4
8a,Metallica,Akdeniz,Akdeniz,76,0.09,0.2,4
8b,Ninja Skills,Akdeniz,Akdeniz,1,0.0,1.0,5
6b+,Pers arjantin,Akdeniz,Akdeniz,34,0.88,0.18,4
8b,Savaşma Seviş,Akdeniz,Akdeniz,20,0.0,0.15,4
6c+,Squirrel Nut Zippers,Akdeniz,Akdeniz,28,0.86,0.07,4
7a,Squirrel Nut Zippers,Akdeniz,Akdeniz,4,0.25,0.0,5
6a,Alaaddin,Alaaddin,Alaaddin,63,0.92,0.02,2
6a+,Alaaddin,Unknown Sector,Alaaddin,1,1.0,0.0,0
5c,Ayasofya,Alaaddin,Alaaddin,41,0.93,0.02,3
6a+,Dirty Dancing,Alaaddin,Alaaddin,38,0.84,0.03,3
6b+,Dream On,Alaaddin,Alaaddin,45,0.87,0.18,4
6b,Iron man,Alaaddin,Alaaddin,64,0.95,0.11,3
6a,Jasmina,Alaaddin,Alaaddin,50,0.94,0.0,3
6b,Tufan Age,Alaaddin,Alaaddin,32,0.84,0.06,3
6b,Unbreakable,Alaaddin,Alaaddin,31,0.97,0.0,3
6b+,Wild Child,Alaaddin,Alaaddin,28,0.82,0.11,3
6b,24 M Chrono,Alabalik,Alabalik,138,0.9,0.12,3
4b,5 Gewinnt,Alabalik,Alabalik,20,0.9,0.0,4
8a,Against All Odds,Alabalik,Alabalik,15,0.07,0.07,3
6c,Akintiya Karsi Yüzmek,Alabalik,Alabalik,147,0.84,0.13,3
6a+,Alabalik,Alabalik,Alabalik,1,0.0,0.0,0
6b,Alabalik,Alabalik,Alabalik,214,0.86,0.09,3
6c,Alabalik Extension,Alabalik,Alabalik,21,0.76,0.24,4
5c,Alabalik henkelei,Alabalik,Alabalik,1,1.0,0.0,0
7c+,Arc teryx,Alabalik,Alabalik,45,0.18,0.07,4
6a,Baby Bat,Alabalik,Alabalik,99,0.84,0.08,3
6a+,Big Things,Alabalik,Alabalik,100,0.84,0.18,3
8a+,Bloody Knuckles,Alabalik,Alabalik,26,0.04,0.12,4
7b+,Born to Run,Alabalik,Alabalik,1,0.0,1.0,0
7a,Brazilia Carnaval,Alabalik,Alabalik,400,0.67,0.11,3
5c,Butterfly Boulevard,Alabalik,Alabalik,82,0.8,0.08,2
8a,Chain Erection,Alabalik,Alabalik,116,0.11,0.16,4
6c+,Chili con Carne,Alabalik,Alabalik,1,0.0,0.0,0
6c+,Chili con Pillar,Alabalik,Alabalik,107,0.78,0.07,3
7a,Chili con Pillar right,Alabalik,Alabalik,2,0.5,0.0,1
7b,Climb Now,Alabalik balkon 4,Alabalik,2,1.0,0.0,1
7a+,Climb on Work Later,Alabalik,Alabalik,105,0.57,0.16,3
8b,Climb on Work Later,Alabalik Balkon,Alabalik,13,0.0,0.15,3
6c+,Dave Smith and the german tecno,Alabalik,Alabalik,9,0.89,0.0,3
7c,Devil dance,Alabalik,Alabalik,1,0.0,0.0,1
7c+,Devil dance,Alabalik,Alabalik,5,0.0,0.0,3
8a,Dog Wars,Alabalik,Alabalik,72,0.14,0.11,3
7a,Due Stazioni,Alabalik,Alabalik,95,0.56,0.07,3
7a,Elif,Alabalik,Alabalik,24,0.54,0.0,3
7a,Finger Food,Alabalik,Alabalik,89,0.51,0.1,2
7a,Fisherman's Friend,Alabalik,Alabalik,100,0.56,0.13,3
6b+,Halva,Alabalik,Alabalik,304,0.81,0.09,3
5c,Havana Club,Alabalik Balkon,Alabalik,18,0.89,0.28,4
6b+,Havana Club,Alabalik,Alabalik,20,0.6,0.1,3
8a,Havana Club,Alabalik,Alabalik,2,0.0,0.0,0
5c,Henkelei,Alabalik,Alabalik,44,0.98,0.04,3
6c+,Heroes go left,Alabalik,Alabalik,29,0.38,0.0,3
8a+,Highline,Alabalik,Alabalik,7,0.29,0.14,3
7a,Jungle Speed,Alabalik,Alabalik,131,0.57,0.04,2
6b+,Kabil'in Ucurtmalari,Alabalik,Alabalik,1,1.0,0.0,3
7a+,Kabil'in Ucurtmalari,Alabalik,Alabalik,94,0.53,0.08,3
6c+,Kaye ve reis,Alabalik,Alabalik,2,0.5,0.0,5
7a+,Kelebegin,Alibalik,Alabalik,1,0.0,0.0,0
6c,Kelebegin Rüyasi,Alabalik,Alabalik,132,0.8,0.13,4
8a,Kleopatra,Alabalik,Alabalik,108,0.07,0.12,4
6b,L 'Homme al 'Enners,Alabalik,Alabalik,2,1.0,0.0,4
6b,L'home a'lenvers,Alabalik,Alabalik,2,0.5,0.0,0
6b,L'homme à l'envers,Alabalik,Alabalik,111,0.86,0.07,3
7c+,Le coleur d'eau,Alabalik,Alabalik,7,0.43,0.0,5
7c+,Les Couleurs de l'eau,Alabalik,Alabalik,81,0.19,0.07,3
6c+,Maa Croob,Alabalik,Alabalik,68,0.68,0.15,3
7a+,N.N. (Havla),Alabalik,Alabalik,1,0.0,0.0,0
7b,Nar Bahcesi,Alabalik,Alabalik,48,0.54,0.06,3
8a+,Neptunalia,Alabalik,Alabalik,59,0.05,0.2,4
6a+,No Gearrr,Alabalik,Alabalik,233,0.91,0.04,3
6a,No Name (1. L),Alabalik,Alabalik,23,1.0,0.09,4
6a,No gear,Alabalik,Alabalik,1,0.0,0.0,0
8b+,Obelix,Alabalik,Alabalik,13,0.0,0.08,4
7c+,Parallel universe,Alabalik,Alabalik,86,0.22,0.26,4
6a,Pembe Hayaller,Alabalik,Alabalik,88,0.87,0.07,3
6a+,Pembe Hayaller,Alabalik Balkon,Alabalik,25,0.84,0.08,1
7c+,Porro d'Aqua,Alabalik,Alabalik,23,0.22,0.0,4
7b+,River dance,Alabalik,Alabalik,170,0.36,0.16,4
8c+,Rock Erotic,Alabalik,Alabalik,4,0.0,0.25,4
7a+,Serbest stil,Alabalik,Alabalik,218,0.52,0.07,3
7a,Sheep direct,Alabalik,Alabalik,51,0.49,0.02,2
5a,Sheep in the keep,Alabalik Balkon,Alabalik,8,0.75,0.25,4
6b,Sheep in the keep,Alabalik,Alabalik,62,0.77,0.03,2
5a,Sheep in the keep L1,Alabalik Balcon,Alabalik,3,1.0,0.0,0
5c,Sky window,Alabalik,Alabalik,54,0.94,0.06,4
7b+,Sloper poker,Alabalik,Alabalik,121,0.25,0.04,2
5c,Solero,Alabalik,Alabalik,55,0.88,0.04,2
7a+,Spanish Thanks Giving,Alabalik,Alabalik,48,0.65,0.19,4
6b+,Stalaktosaurus,Alabalik,Alabalik,183,0.67,0.18,4
6b+,Tesaduf,Alabalık Balkon 1,Alabalik,17,0.41,0.12,4
7a,Tesaduf,Alabalik,Alabalik,3,0.67,0.33,5
7b+,Yarasa Ol (ext.),Alabalik,Alabalik,1,0.0,0.0,1
7b,Yarasa ol,Alabalik,Alabalik,110,0.36,0.13,4
7b+,three happy three friends,Alabalik balkon 4,Alabalik,27,0.48,0.11,4
7c,three happy three friends,Alabalik,Alabalik,81,0.59,0.27,4
7a,Özlem,Alabalik,Alabalik,18,0.72,0.0,3
7c+,Özlem,Alabalik,Alabalik,66,0.26,0.16,4
6c,Elettra,Alcyone,Alcyone,1,1.0,0.0,3
7c,31,Anatolia,Anatolia,3,0.33,0.0,5
6c+,Air and Style,Anatolia,Anatolia,52,0.69,0.08,3
7c+,Air and style 2.L,Anatolia Sag,Anatolia,2,0.0,0.0,3
6c+,Anatolian highway,Anatolia,Anatolia,98,0.87,0.12,3
7b+,Anatolic,Anatolia,Anatolia,11,0.64,0.0,3
7c,Ange de l'Oubli,Anatolia,Anatolia,198,0.26,0.06,3
7a,Arabesk,Anatolia,Anatolia,51,0.65,0.06,3
7c,Beam me up Scotty,Anatolia,Anatolia,10,0.4,0.0,1
6c+,Captain Kirk,Anatolia Right,Anatolia,1,0.0,0.0,0
6a+,Celik Kalp,Anatolia,Anatolia,198,0.87,0.04,3
7b,Celik Kalp,Anatolia,Anatolia,2,0.5,0.0,0
7b,Celik Kalp extension,Anatolia,Anatolia,5,0.2,0.0,3
5a,Chupi,Anatolia,Anatolia,38,0.82,0.03,3
8a,Daddy Cool,Anatolia,Anatolia,75,0.15,0.13,4
7c,Elbe,Anatolia,Anatolia,56,0.2,0.09,3
7a+,Flintstone,Anatolia,Anatolia,54,0.72,0.02,3
7b,Flintstone,Anatolia,Anatolia,1,1.0,0.0,0
6b+,Flintstone Extension,Anatolia,Anatolia,2,1.0,0.0,2
7c,Freedom for Boğaziçi,Anatolia,Anatolia,20,0.4,0.25,4
7c,Gizmo,Anatolia,Anatolia,50,0.34,0.06,4
7a+,Hayat çok uzun,Anatolia,Anatolia,79,0.71,0.04,3
6c+,Kapt‘n Kirk,Anatolia,Anatolia,103,0.82,0.07,3
7b,Kara Yilan,Anatolia,Anatolia,35,0.6,0.03,3
7a,Locki,Anatolia,Anatolia,68,0.75,0.06,3
7c+,Maelstrom extantion,Anatolia,Anatolia,1,0.0,0.0,0
6b+,Mealstrom,Anatolia,Anatolia,5,0.8,0.0,2
6c+,Mezarlariniza Tükürecegim,Anatolia,Anatolia,4,1.0,0.25,4
6c+,Mezarlarınıza Tükürücem,Anatolia,Anatolia,116,0.85,0.12,4
7c,Miaau,Anatolia,Anatolia,15,0.53,0.13,3
8a,Milestone,Anatolia,Anatolia,68,0.12,0.12,4
8a,Minimalist,Anatolia,Anatolia,9,0.0,0.0,4
7a,Moby's dick,Anatolia,Anatolia,53,0.55,0.06,3
6c,Muskelkater,Anatolia,Anatolia,222,0.85,0.09,3
6a,N.N. 13,Anatolia Right,Anatolia,2,0.5,0.0,5
7c,Name in chalk L2,Anatolia,Anatolia,1,0.0,0.0,0
6a,No Name,Anatolia,Anatolia,4,1.0,0.0,4
7a,Ny led,Anatolia,Anatolia,1,1.0,0.0,0
7c,Otuzbir,Anatolia,Anatolia,73,0.48,0.14,4
6b,Passenger,Anatolia,Anatolia,1,1.0,0.0,0
6b,Pijama Party,Anatolia,Anatolia,92,0.86,0.05,3
8a,Pijama Party (ext.),Anatolia,Anatolia,8,0.0,0.13,4
7b,Powerslave,Anatolia Sag,Anatolia,6,0.67,0.0,4
7a,Red hot chilli peppers,Anatolia,Anatolia,93,0.53,0.02,2
6a,Sado mazo,Anatolia,Anatolia,2,0.5,0.0,0
6c+,Sado mazo,Anatolia,Anatolia,38,0.84,0.0,2
7a,Seek and destroy,Anatolia,Anatolia,253,0.63,0.15,4
7b,Session Of Happiness L2,Anatolia,Anatolia,1,1.0,0.0,0
6a+,Session of happiness,Anatolia,Anatolia,116,0.85,0.04,3
7b,Session of happiness,Anatolia,Anatolia,22,0.73,0.05,2
6c+,Stay Confused,Anatolia,Anatolia,2,1.0,0.0,4
6b+,The Passenger,Anatolia,Anatolia,37,0.7,0.03,1
8a+,Truth Hurts,Anatolia,Anatolia,36,0.14,0.08,4
7b+,Try to enjoy,Anatolia,Anatolia,77,0.49,0.09,4
8a+,Turkish Airways,Anatolia,Anatolia,236,0.08,0.17,4
7a,cennet cehennem,Antalya,Anatolia,4,0.25,0.0,3
7c,selamin aleikum,Anatolia,Anatolia,1,1.0,0.0,3
5c,Barbarossa,Barbarossa,Barbarossa,191,0.88,0.22,4
6a+,Barbarossa 16,Barbarossa,Barbarossa,2,1.0,0.0,0
6b+,Barbarossa 16,Barbarossa,Barbarossa,18,0.89,0.17,4
6c,Barbarossa 16,Barbarossa,Barbarossa,1,0.0,0.0,0
6b,Barbarossa hurrem sultan,Barbarossa,Barbarossa,1,1.0,0.0,0
6a+,Brazil Carnaval,Barbarossa,Barbarossa,37,0.94,0.03,3
5c,Brio De Flamenco L1,Barbarossa,Barbarossa,16,0.94,0.13,4
6b+,Brio de Flamenco,Barbarossa,Barbarossa,55,0.91,0.04,3
5c,Brio de Flamenco (L2),Barbarossa,Barbarossa,5,0.8,0.0,0
6b+,Brio de Flamenco (L2),Barbarossa,Barbarossa,19,0.94,0.06,4
6a+,Bysance,Unknown Sector,Barbarossa,7,1.0,0.0,0
6c,Bysance,Barbarossa,Barbarossa,18,0.72,0.06,4
7b+,Bysance,Barbarossa,Barbarossa,3,0.33,0.0,4
6b+,Cliff Burton,Barbarossa,Barbarossa,35,0.71,0.06,4
7b+,Dio,Barbarossa,Barbarossa,37,0.32,0.14,4
5c,Festival,Barbarossa,Barbarossa,71,0.87,0.04,3
5c,Fotogene Route,Barbarossa,Barbarossa,2,1.0,0.0,0
6a+,Halife,Barbarossa,Barbarossa,1,0.0,0.0,0
6a+,Halifenin Yerindeki Halife,Barbarossa,Barbarossa,67,0.88,0.06,3
7a,Halifenin Yerindeki Halife,Barbarossa,Barbarossa,88,0.71,0.08,3
7a,Halifenin yerindeki,Barbarossa,Barbarossa,2,1.0,0.5,5
6b,Hürrem Sultan,Barbarossa,Barbarossa,153,0.84,0.05,3
7b+,Lemmy,Barbarossa,Barbarossa,24,0.21,0.08,3
6a+,Merci Michel,Barbarossa,Barbarossa,13,0.77,0.0,3
6b+,Mustapha et les Mustaphettes,Barbarossa,Barbarossa,72,0.83,0.04,3
6b,N.N. (nueva)L1+L2),Barbarossa,Barbarossa,1,1.0,0.0,0
6b+,N.N. 14,Barbarossa,Barbarossa,1,0.0,0.0,0
7b,O Dolares,Barbarossa,Barbarossa,36,0.53,0.08,3
7a+,Padisahlik son,Barbarossa,Barbarossa,87,0.49,0.08,3
7a,Pasa,Barbarossa,Barbarossa,72,0.65,0.01,3
7a+,Sailerin Sultani ext.,Barbarossa,Barbarossa,1,0.0,0.0,1
6a,Sairlerin Sultani,Barbarossa,Barbarossa,4,1.0,0.0,0
6c,Samba Mamba,Barbarossa,Barbarossa,7,0.57,0.0,1
5c,Sex Pistols,Barbarossa,Barbarossa,37,0.81,0.0,3
7b+,Sex Pistols,Barbarossa,Barbarossa,5,0.2,0.0,3
6a,Shairelin sultani,Barbarossa,Barbarossa,1,1.0,0.0,0
5c,Souvenir Malgache,Barbarossa,Barbarossa,113,0.91,0.0,3
6a+,buysense,Barbarossa,Barbarossa,1,1.0,0.0,0
6a+,hamem rulkan,Barbarossa,Barbarossa,1,0.0,0.0,0
6a,Şairlerin Sultanı,Barbarossa,Barbarossa,42,0.88,0.07,3
7a+,Şairlerin Sultanı,Barbarossa,Barbarossa,240,0.78,0.06,3
5c,Angel,Cennet,Cennet,1,1.0,0.0,0
6a+,Bismillah,Cennet,Cennet,1,0.0,0.0,0
5c,Deja vú,Cennet,Cennet,1,1.0,0.0,0
5c,Mermaid,Cennet,Cennet,1,1.0,0.0,0
5c,Wicked Game,Cennet,Cennet,1,1.0,0.0,0
6c,Ali baba ve kirk haramiler,Cesme,Cesme,18,0.83,0.05,4
6c,Amazon,Cesme,Cesme,9,0.78,0.22,5
7b,Anarshit,Cesme,Cesme,16,0.19,0.06,4
7c,Anarshit varyasyon,Cesme,Cesme,7,0.0,0.0,3
7b+,Blonde confusion,Cesme,Cesme,10,0.0,0.0,4
7b+,Bonanza,Cesme,Cesme,32,0.38,0.19,4
7a+,Dekadans,Cesme,Cesme,2,0.0,0.0,4
7a,Desire,Cesme,Cesme,26,0.81,0.12,4
5c,Farketmez,Cesme,Cesme,21,0.91,0.05,2
6a,Jungle,Cesme,Cesme,6,1.0,0.0,4
6a+,Kaktüs,Cesme,Cesme,50,0.94,0.04,3
6c,Klakson,Cesme,Cesme,58,0.86,0.03,3
6a,Lost in time,Cesme,Cesme,38,0.84,0.05,3
6b,Love and hate,Cesme,Cesme,56,0.77,0.16,3
6a,Mafia,Cesme,Cesme,6,1.0,0.33,4
8b,Mambo Kurt,Cesme,Cesme,1,0.0,0.0,5
6a,N.N. (new),Cesme,Cesme,1,1.0,1.0,1
6b+,Punk,Cesme,Cesme,18,0.67,0.17,4
6b+,Routenflucht,Cesme,Cesme,21,0.67,0.14,3
5a,Sakson stili,Cesme,Cesme,27,0.82,0.04,4
7c+,Scare Face,Cesme,Cesme,7,0.0,0.14,5
7c+,Sunatorium,Cesme,Cesme,1,0.0,0.0,4
6c,Susam,Cesme,Cesme,11,0.82,0.0,3
6a+,dude,Cesme,Cesme,59,0.73,0.02,3
7c,Citdibi,Citdibi,Citdibi,5,0.4,0.0,4
7b,Climbing Trip,Citdibi,Citdibi,4,0.5,0.0,4
7b,Come on come on come,Citdibi,Citdibi,1,1.0,0.0,3
7b+,Kaptan Hook,Citdibi,Citdibi,5,0.6,0.0,4
7a,Nasty,Citdibi,Citdibi,4,1.0,0.0,1
7a+,Petit suisses et yaourt,Citdibi,Citdibi,1,1.0,0.0,5
7b,Playing for change,Citdibi,Citdibi,1,1.0,0.0,5
6a,bıngıl hanımın dusleri,Citdibi,Citdibi,1,1.0,0.0,0
6c+,gonul gozu,Citdibi,Citdibi,4,1.0,0.0,3
6a,surya namaskar,Citdibi,Citdibi,1,1.0,0.0,0
6b+,teenager on game,Citdibi,Citdibi,2,1.0,0.0,0
7a,Die Fetten Jahre Sind Vorbei,Deli Kasap,Deli Kasap,13,0.62,0.0,3
7a,Flying is Fun,Deli Kasap,Deli Kasap,37,0.51,0.03,4
6c+,Gekko Kebap,Deli Kasap,Deli Kasap,12,0.67,0.0,1
6c+,King fishers,Deli Kasap,Deli Kasap,32,0.56,0.09,2
5c,Kis uykusu,Deli Kasap,Deli Kasap,15,0.74,0.13,3
6a+,Südkante,Deli Kasap,Deli Kasap,17,0.88,0.18,2
6a,Süßes Leben,Deli Kasap,Deli Kasap,18,0.89,0.17,3
6c+,Tropicana,Deli Kasap,Deli Kasap,8,0.38,0.25,3
6c+,Verliebt nach Anne,Deli Kasap,Deli Kasap,22,0.5,0.13,2
7a+,Ahtapot,Dragon,Dragon,82,0.54,0.11,4
6a,Banana Monster,Dragon,Dragon,7,1.0,0.0,3
6b+,Banana Monster,Dragon,Dragon,125,0.84,0.02,3
7a+,Downpour,Dragon,Dragon,47,0.7,0.0,3
7a,Dragonfly,Dragon,Dragon,126,0.72,0.11,3
7a,Fire Spire,Dragon,Dragon,159,0.76,0.05,3
7b+,Legende Einer Leidenschaft,Dragon,Dragon,118,0.56,0.14,3
6c,Life is good,Dragon,Dragon,52,0.87,0.14,4
6c+,Life is good,Dragon,Dragon,3,1.0,0.0,4
7a+,Masallah,Dragon,Dragon,30,0.57,0.07,3
6c,Mira que tinc,Dragon,Dragon,1,0.0,0.0,0
7b+,Red Dragon,Dragon,Dragon,26,0.19,0.12,4
6b+,Schach matt ext.,Dragon,Dragon,3,1.0,0.33,4
6a,Schachmatt,Dragon,Dragon,98,0.83,0.08,3
6b+,Schachmatt,Dragon,Dragon,58,0.85,0.1,3
6b,Sleva,Dragon,Dragon,2,1.0,0.0,0
6a,Totos,Dragon,Dragon,12,0.92,0.17,3
6b,Totos,Dragon,Dragon,121,0.88,0.09,3
6a,Çikomigro,Dragon,Dragon,86,0.91,0.04,3
7a+,Beyaz Sahin,Echoes,Echoes,128,0.41,0.18,4
6b+,Comfortably,Echoes,Echoes,129,0.87,0.11,3
8b,Country diamond,Echoes,Echoes,1,0.0,0.0,0
7b,Deli Ziya,Echoes,Echoes,62,0.45,0.13,4
7a,Echoes of the Andes,Echoes,Echoes,48,0.68,0.04,3
6a+,Echoes of the Himalaya,Echoes,Echoes,20,0.9,0.15,3
7a,Echoes of the Himalaya,Echoes,Echoes,5,0.6,0.0,5
6a+,Geyikbayiri 'Ndan Charmonix,Echoes,Echoes,5,1.0,0.4,4
8a,Kara Elmas,Echoes,Echoes,55,0.16,0.27,4
6b,Lanet,Echoes,Echoes,26,0.81,0.04,3
6b,Lanet olsun,Echoes sağ2,Echoes,20,0.9,0.05,3
7b,Love Hurts,Echoes,Echoes,73,0.45,0.1,4
7b+,Love Hurts,Unknown Sector,Echoes,1,1.0,0.0,0
7c+,Mambo Tango,Echoes,Echoes,12,0.25,0.25,4
8a,Metronom,Echoes,Echoes,26,0.04,0.08,4
8a+,No Country for Old Man,Echoes,Echoes,35,0.0,0.23,4
7c+,No more Mr. Nice Guy,Echoes,Echoes,116,0.18,0.09,4
7b+,No remorse,Echoes,Echoes,58,0.16,0.12,3
7a+,Planet Of The Apes,Echoes,Echoes,59,0.49,0.12,4
7b+,Pompei,Echoes,Echoes,68,0.25,0.1,4
7c,Punisher,Echoes,Echoes,53,0.36,0.11,4
7c,Too big to fall,Echoes,Echoes,116,0.28,0.07,4
7a+,monte cucco,Echoes,Echoes,35,0.4,0.06,3
7a,En soldaki...,Esekuctu,Esekuctu,3,0.67,0.0,3
8b,Enjoy the Silence,esek uctu,Esekuctu,13,0.0,0.23,5
7b,Game of Thrones,Esekuctu,Esekuctu,22,0.32,0.0,4
8a,Game of Thrones Extension,Esekuctu,Esekuctu,1,0.0,0.0,5
7c+,Little Rainbow,Esekuctu,Esekuctu,7,0.14,0.0,4
8a+,Masal,esek uctu,Esekuctu,12,0.17,0.0,3
7a+,N/N,Esekuctu,Esekuctu,2,1.0,0.5,5
8a+,Rocky 2,esek uctu,Esekuctu,4,0.0,0.0,5
8b,Rocky 2,esek uctu,Esekuctu,4,0.0,0.0,5
7a,Soldan 3.,Esekuctu,Esekuctu,15,0.8,0.0,4
7b,Soldan 3.,Esekuctu,Esekuctu,1,0.0,0.0,0
7b+,Soldan 3.,Esekuctu,Esekuctu,3,0.67,0.0,5
7a,Soldan 3.rota,Esekuctu,Esekuctu,1,1.0,0.0,0
7c+,Funky Chicken,Funky Chicken,Funky Chicken,8,0.13,0.13,4
6c+,Akintiya Krasi Yuzmek,Geyik bayiri,Geyik,1,1.0,1.0,0
6a+,Aman Aman,Geyik,Geyik,36,0.67,0.03,2
6c,Among Friends,Geyik,Geyik,24,0.79,0.08,3
5c,Babylon,Geyik,Geyik,28,1.0,0.04,3
6c,Bye Bye George,Geyik,Geyik,26,0.81,0.08,4
5a,Etik,Geyik,Geyik,32,0.75,0.0,2
6a,Etik,Kekik,Geyik,14,1.0,0.07,2
6b,Hadi Sit,Geyik bayiri,Geyik,2,1.0,0.0,0
7a+,Hand Boiled Wonderful,Kekik,Geyik,3,1.0,0.0,0
6b,Kelebek,Geyik,Geyik,17,0.65,0.0,1
6c,Kiyir Kiyir,Geyik,Geyik,40,0.78,0.03,2
6b,Makasu,Kekik,Geyik,1,1.0,0.0,0
6a+,Micha,Geyik,Geyik,25,0.68,0.0,2
6a+,Milli Piyango,Kekik,Geyik,10,0.9,0.1,5
6a+,Overdose,Geyik,Geyik,27,0.89,0.04,4
5b,Pratik,Geyik,Geyik,15,0.8,0.0,2
6a+,Ready for anything,Kekik,Geyik,7,0.86,0.14,3
6a+,Tak Tak Coban,Geyik,Geyik,50,0.72,0.04,3
6b,Vanilya,Kekik,Geyik,13,0.92,0.08,5
5c,babylon (1L),Geyik,Geyik,3,1.0,0.0,4
8a+,crack the system,Kekik,Geyik,2,0.0,0.0,4
7b+,the bolt the beautiful,Kekik,Geyik,3,0.33,0.0,0
5c,Anonim,Gizlibahce,Gizlibahce,1,0.0,0.0,3
7b,Bir şey mi dedin Pavarotti,Gizlibahce,Gizlibahce,2,0.5,0.0,3
6c+,Bolting Antalya,Gizlibahce,Gizlibahce,3,1.0,0.67,4
6b+,Durak,Gizlibahce,Gizlibahce,14,0.93,0.07,4
5b,Istanbul,Gizlibahce,Gizlibahce,7,1.0,0.29,4
5c,Kar Tanesi,Gizlibahce,Gizlibahce,6,1.0,0.33,5
4a,Mektep,Unknown Sector,Gizlibahce,1,1.0,0.0,0
5b,Mektep,Gizlibahce,Gizlibahce,12,0.83,0.17,3
